PWEIGHT,PATTCRLM,PEFATINC,PEXMG1A,PWARRIF,
1795.7549,39000,51575,99996,0,
764.8953,21000,203500,99996,0,
2282.0713,500,24500,99996,0,
557.6191,24000,45350,325,0,
647.7122,17500,18700,99996,0,
1582.8501,12500,19000,99996,0,
501.2028,8500,82450,550,0,
2480.4855,40000,94925,1450,0,
733.8689,15000,33575,275,0,
186.2508,30000,134550,1150,0,
392.1728,3000,60425,99996,100000,
1394.7718,20000,79925,225,0,
209.1822,32000,124575,99996,240000,
1162.6335,21000,75175,99996,0,
3649.0231,52500,80075,475,0,
825.5709,7000,24000,99996,0,
455.6338,4100,28850,99996,0,
1607.374,8250,43575,99996,0,
512.4411,100000,82425,99996,410000,
771.8474,6750,39000,99996,190000,
906.2527,41000,51050,99996,0,
784.9741,2100,54025,99996,0,
1218.7443,31000,160025,99996,0,
240.7071,950,19575,150,0,
777.2671,5250,42375,99996,0,
912.6363,24000,88650,99996,0,
255.6746,999996,76450,350,0,
502.3441,175000,648775,99996,0,
413.6705,2200,20150,99996,0,
2048.8282,14500,55975,99996,0,
250.6912,36000,168575,650,0,
958.929,90000,54650,350,0,
1485.0596,425,18000,99996,0,
939.8564,20000,456575,99996,0,
1747.0669,5500,23250,99996,0,
948.8868,29000,74925,99996,40000,
8036.4131,999996,14100,99996,0,
1048.0251,16000,29975,99996,0,
1068.2345,8000,43950,99996,90000,
1535.5311,24000,81475,1850,0,
454.7421,48000,55000,99996,0,
671.5263,30000,115225,99996,0,
1193.3832,7750,29600,1350,0,
753.6374,8500,176800,3300,0,
1486.0397,29000,105450,250,0,
1480.6621,10000,114725,700,0,
771.2635,20000,28625,99996,0,
1219.8709,9250,9150,99996,0,
545.9973,5250,43525,99996,0,
1184.1559,4100,82900,99996,0,
1146.675,1000,7150,99996,0,
1640.698,25000,139625,1700,0,
2633.8793,19000,34525,425,0,
1178.7285,60000,80175,99996,0,
1244.2257,34000,130075,99996,0,
550.4582,38000,98425,99996,0,
716.8973,25000,210750,99996,0,
829.5705,40000,46825,225,20000,
918.2216,1000,19500,99996,0,
768.1036,6250,45850,80,0,
464.2553,2600,23700,99996,0,
686.6203,10000,38375,1850,0,
1103.1033,46000,127350,99996,0,
1079.6684,95000,210025,1550,0,
1739.6556,999996,26000,99996,0,
807.7075,57500,89200,99996,0,
1278.878,18000,51750,99996,300000,
920.2148,7500,73600,99996,0,
2046.279,22000,68150,99996,0,
805.2864,87500,93500,500,0,
3287.23,15500,57075,99996,0,
432.4683,999996,21475,99996,0,
243.2928,8000,136650,625,0,
1710.3973,14500,129600,99996,0,
2857.9742,2500,54700,99996,0,
1064.7807,50000,123325,99996,0,
438.2084,999996,17500,99996,0,
1498.1333,60000,180750,900,0,
786.5449,30000,70325,375,0,
39.0901,17000,124500,99996,0,
473.8791,10500,100875,99996,90000,
1931.8743,30000,122225,99996,0,
934.0835,110000,172075,450,0,
338.0989,35000,152050,350,0,
165.9236,90000,203925,525,0,
2048.8282,19000,63425,99996,0,
657.8921,999996,12500,99996,0,
2060.8547,3000,69825,99996,0,
513.1708,8750,106800,1050,0,
1600.2047,30000,63825,1850,0,
1255.6759,18000,28575,99996,115000,
1526.3306,999996,26200,99996,0,
2118.2902,7750,31200,99996,0,
2637.7879,14000,69225,99996,0,
928.4944,7000,21075,500,0,
1629.1201,25000,48875,99996,17000,
821.2509,5000,76275,175,0,
1045.969,25000,128050,99996,0,
989.9105,67500,54475,99996,0,
1036.4822,15500,53125,99996,410000,
1802.4175,999996,55150,99996,0,
1352.1631,12000,101900,99996,0,
2323.714,12500,116050,450,0,
523.8111,425,58150,475,0,
1959.2512,15500,174025,600,0,
519.418,15500,97975,800,0,
495.7026,57500,116325,99996,0,
1200.6306,10500,101250,725,0,
392.9642,75000,53050,99996,11500,
1683.2344,15000,54525,99996,0,
2926.5765,44000,67400,250,0,
1432.8808,46000,59625,99996,0,
1323.2049,999996,12500,99996,0,
126.2312,34000,101150,99996,0,
1385.5691,24000,85400,500,0,
2231.2034,24000,700,99996,0,
1357.1062,11500,115300,99996,0,
1633.6578,6000,26350,99996,0,
3250.6634,23000,30225,99996,0,
925.295,9000,62325,350,0,
510.7315,19000,40875,99996,0,
1288.2537,9500,66075,600,0,
1781.3705,10500,120900,2600,0,
1401.3212,525,41575,99996,0,
710.9451,24000,94050,99996,0,
685.8852,5000,70025,650,0,
399.5531,7750,40325,99996,0,
1700.2489,29000,233400,99996,0,
2463.9364,999996,24000,99996,0,
990.2525,10500,79625,725,0,
821.6898,13000,82150,99996,0,
111.2821,2000,24600,99996,0,
1513.8366,47500,39175,99996,0,
576.2938,10000,70125,99996,145000,
1439.4949,105000,68000,99996,0,
1942.9044,8750,56500,99996,0,
2490.6059,1500,24600,99996,0,
1765.5379,16000,50200,99996,0,
805.0461,49000,145225,450,0,
1850.9491,16500,64900,99996,0,
1429.9251,2100,38700,99996,0,
715.4954,8000,110275,700,0,
1122.415,17000,56750,99996,34000,
974.9011,850,14000,1900,0,
949.2723,77500,142600,99996,0,
1034.6371,29000,404800,2300,0,
416.3568,50000,247150,99996,410000,
1958.4407,40000,177775,99996,0,
3798.6711,8500,41875,99996,0,
1777.2239,40000,147525,1200,0,
1054.4911,2000,161025,450,0,
2683.3746,2500,52175,99996,0,
269.6001,41000,26900,99996,0,
936.5152,15000,91325,99996,28000,
1468.6034,5000,34325,99996,0,
2469.6123,15500,63225,99996,0,
1396.828,7000,121175,1300,0,
889.3375,999996,32600,99996,0,
1218.5253,17000,197850,950,0,
1561.1329,40000,65675,1100,0,
772.0859,20000,34325,99996,0,
1468.2272,10500,41975,99996,0,
436.473,10000,91950,99996,0,
2606.6671,17000,77825,99996,0,
873.7092,29000,556125,99996,0,
786.0051,10000,43400,99996,10500,
1676.6254,3000,35825,99996,19000,
1025.7638,4500,72925,99996,0,
749.7383,35000,101475,99996,150000,
543.2101,17000,120125,850,0,
1183.8937,12000,84650,99996,0,
2011.2314,100000,91925,99996,90000,
562.2566,17500,150925,525,0,
220.551,19000,107875,99996,0,
2174.1545,20000,133075,99996,0,
209.5616,17500,29375,99996,0,
241.2986,8000,77675,99996,0,
176.3555,14500,73375,425,0,
2217.856,40000,98175,99996,0,
1363.1111,9500,195450,99996,0,
511.0052,3000,14025,99996,0,
133.3623,9500,39575,99996,0,
671.8894,90000,104900,99996,0,
1360.9565,10000,88200,99996,16000,
1598.7319,39000,114900,250,0,
890.6711,11500,90650,99996,0,
2122.9518,12000,92900,99996,0,
676.3723,18500,93500,675,0,
2966.6021,18500,139400,850,0,
483.9755,82500,276450,475,0,
370.3735,950,87750,99996,0,
1931.3263,2900,25800,99996,0,
1580.0844,14500,41225,99996,16500,
1300.3535,10000,106750,350,0,
1380.2794,7250,72625,99996,0,
1032.3083,26000,88250,99996,0,
1217.3011,19500,31700,99996,0,
709.0914,29000,105050,475,0,
1620.3758,37000,129500,725,0,
1671.9786,29000,151950,99996,0,
425.3887,999996,28525,99996,0,
2253.1234,95000,72075,99996,0,
78.5154,999996,45550,99996,0,
1404.094,8500,28900,99996,0,
1290.4232,28000,75575,99996,0,
995.1906,25000,89050,99996,0,
629.6745,31000,53550,250,200000,
409.7545,10000,79500,200,0,
1802.5327,6250,25750,99996,15500,
756.5363,4750,150400,99996,0,
285.7219,30000,106475,99996,0,
1381.2913,999996,9750,99996,0,
1845.2588,3000,184675,99996,0,
1176.5616,60000,104400,1900,0,
824.9112,15000,82950,99996,0,
1007.9709,19000,67375,99996,0,
368.2392,21000,86250,99996,0,
887.8924,10500,107500,375,0,
1446.0558,15000,30000,450,0,
1552.6334,26000,322300,99996,0,
1271.5128,24000,86300,99996,0,
1425.712,10500,28700,1500,0,
1142.4935,2100,128725,99996,0,
996.5168,47500,75425,99996,41000,
1909.4512,11500,143000,425,0,
2153.0185,39000,21650,99996,15000,
2046.3813,10500,80625,99996,0,
1004.2128,30000,117425,99996,280000,
344.8844,18500,142375,550,0,
1279.2999,26000,91900,99996,0,
1567.6285,7250,189675,99996,0,
1025.5056,575,51925,200,0,
1562.1402,17000,58800,99996,0,
1327.2805,12000,206850,1450,0,
614.0241,3100,66600,1350,0,
351.1785,3000,45300,99996,0,
1497.0584,48000,146525,625,0,
1050.7783,82500,74075,350,0,
419.7856,37000,65150,99996,0,
1157.1423,13000,113150,99996,0,
1878.2651,5000,69200,99996,0,
829.5273,10500,80925,275,0,
1586.4853,17500,89275,99996,5000,
1328.7236,7000,41350,99996,0,
461.487,999996,7250,99996,0,
1101.636,999996,28025,99996,0,
929.7203,8250,86025,750,0,
2486.431,10000,59800,99996,0,
2220.6343,6750,37275,99996,2400,
2663.5778,5000,23650,99996,0,
1371.1075,16500,25825,99996,0,
912.2188,67500,131875,99996,0,
346.2528,34000,34900,425,0,
11384.9074,999996,30750,99996,0,
326.9225,4750,40525,99996,0,
1754.5805,5000,66850,99996,0,
856.1346,47500,95150,99996,0,
2026.8458,35000,124000,600,0,
1288.393,26000,59125,99996,350000,
521.0314,10000,50225,425,0,
854.54,4000,25200,99996,0,
3099.1792,13500,57175,675,0,
1041.3499,6750,54350,775,0,
169.6202,39000,110000,99996,250000,
2162.8242,7250,35275,150,0,
1077.4673,10000,18000,99996,0,
122.7073,17500,124175,475,0,
1260.6053,43000,106400,550,0,
1586.2057,450,48125,99996,0,
4757.4155,6750,91875,99996,0,
1736.0305,5250,36200,99996,0,
1237.9577,24000,38000,99996,3900,
362.8706,20000,133900,325,0,
1884.2584,3600,86200,1100,0,
1664.7553,3000,51300,99996,0,
1813.4929,41000,105900,99996,0,
1084.9422,105000,53975,175,270000,
430.6129,30000,163375,99996,0,
883.2734,8750,39350,99996,4400,
1485.4028,999996,39950,99996,0,
3648.5998,28000,22225,99996,0,
871.9078,31000,91675,99996,0,
576.8326,2000,102050,99996,0,
514.0772,16500,32550,175,0,
1974.3179,6250,60900,450,0,
1103.1117,39000,80150,99996,0,
597.3892,15000,76300,175,0,
2660.3804,2500,33000,99996,52500,
2782.5009,3900,94725,350,0,
237.3877,2000,48800,99996,0,
1098.8082,25000,102900,825,0,
647.3783,35000,65400,600,0,
786.4577,52500,151525,500,0,
7852.8432,999996,12000,99996,0,
1228.633,999996,22000,99996,0,
1547.0439,15500,17075,99996,0,
415.5505,62500,255400,60,0,
1982.0985,50000,107925,550,0,
894.4484,999996,33125,99996,0,
1067.0101,7000,34000,750,0,
214.2731,135000,166275,99996,0,
116.7922,47500,107775,1650,0,
2178.5104,40000,51325,99996,0,
521.5806,100000,133075,99996,0,
1642.2331,40000,159725,2200,0,
261.6672,44000,58875,675,0,
451.9671,999996,42925,850,0,
1613.8859,15000,59300,650,0,
1557.4746,999996,18475,99996,0,
1457.9447,10000,24075,99996,0,
475.1551,70000,71000,99996,185000,
1454.9339,28000,95500,575,0,
589.0531,57500,129700,400,575000,
985.1218,2100,9100,99996,0,
493.2309,5250,23300,99996,0,
898.5645,52500,162950,99996,0,
433.4559,999996,18300,99996,0,
369.3999,47500,141550,650,0,
1364.5933,30000,64500,1900,0,
2466.8378,20000,37300,99996,14500,
709.3809,11500,130225,900,0,
479.8472,95000,156300,250,0,
900.5925,14500,55200,350,0,
1245.706,77500,159950,99996,0,
2860.8726,999996,18500,99996,0,
1093.2849,25000,17900,99996,200000,
399.6587,999996,25000,99996,0,
641.6715,999996,106725,99996,0,
495.63,17000,75700,99996,0,
453.6594,4100,82150,99996,0,
466.9609,21000,41775,1000,0,
1270.0973,20000,100525,575,0,
1215.4578,10500,69400,500,0,
1695.2866,40000,212250,950,0,
1471.1617,27000,73250,375,0,
1472.8734,4750,59575,650,0,
117.2834,4200,48775,99996,0,
1910.2932,5750,140650,550,0,
426.4273,45000,118075,1500,0,
851.1132,82500,72975,99996,95000,
