PATTCRLM,PDWTYP,PEFATINC,PFSZ1824,PFSZ2544,PFSZ4564,PFSZ65UP,PPVRES,PWARRIF,PWNETWPG,
10000,1,186450,2,2,1,2,48,0,4610000,
17500,1,107125,2,1,2,2,47,0,273550,
52500,1,137125,2,1,2,2,24,0,550050,
950,1,189950,2,1,1,2,47,0,34425,
3100,1,33075,2,2,2,1,59,3300,433625,
8000,1,105950,2,1,2,2,24,0,265500,
100000,1,169875,2,2,1,1,35,0,2284500,
21000,1,97275,2,2,1,1,48,0,1871750,
11500,3,45425,2,2,1,2,24,0,197750,
41000,1,124525,2,2,2,1,59,0,3012000,
16000,1,37250,2,2,1,2,46,0,859600,
45000,3,87700,2,2,1,2,35,0,1144100,
42000,1,87025,9,9,9,9,11,0,3457000,
52500,1,172375,2,2,1,2,35,0,1382250,
20000,1,79325,2,2,1,2,24,0,1316500,
5250,1,88025,1,2,1,2,47,0,3470250,
525,1,12000,2,1,2,2,59,0,1030,
4500,3,58700,2,1,2,2,24,0,-82000,
21000,4,96775,2,1,2,2,48,0,121000,
29000,1,136150,9,9,9,9,10,0,728501,
87500,1,176200,9,9,9,9,59,0,13473000,
31000,1,103525,1,1,2,2,24,0,259426,
52500,3,114275,2,1,2,2,59,0,464900,
15500,2,61725,1,2,1,2,35,0,160375,
23000,1,63225,2,2,1,1,24,12000,588200,
16500,1,75150,1,1,2,2,48,0,19525,
75000,2,248300,9,9,9,9,35,0,10407504,
8250,2,113750,1,2,1,2,48,0,48520,
13500,1,74900,2,1,2,1,24,0,571200,
21000,1,88000,2,1,2,2,24,0,268500,
30000,3,96475,2,1,2,2,24,0,358500,
29000,1,124625,1,2,1,2,48,0,650500,
16500,1,38350,2,2,1,2,13,0,347000,
1450,3,31750,2,1,2,2,24,0,110826,
40000,1,73975,2,2,2,1,35,0,413700,
29000,1,21200,2,2,1,2,24,0,90750,
60000,1,129500,2,2,1,2,48,0,528500,
3500,2,54475,2,1,2,2,48,0,-4400,
130000,1,149775,1,2,1,2,10,0,1512000,
999996,3,27250,2,2,2,1,13,0,76525,
16500,1,59700,2,1,1,2,35,0,524500,
1050,1,34500,2,1,2,2,12,0,56650,
12500,3,39325,2,2,2,1,24,67500,239250,
57500,2,81025,2,1,1,2,24,0,431850,
22000,1,26975,2,2,1,2,59,0,231100,
20000,1,97850,2,2,2,1,59,0,1915050,
7250,3,48300,2,2,1,2,24,0,433000,
1450,3,35950,2,2,1,2,24,0,128900,
10000,1,107175,2,1,2,2,12,0,162225,
999996,1,26100,2,2,2,1,24,0,165000,
30000,1,26200,2,2,1,2,35,0,2803500,
11500,1,88850,9,9,9,9,13,0,50425,
3000,1,47000,2,1,2,2,48,0,29450,
1500,1,70850,2,2,1,2,35,0,708950,
39000,2,51575,2,1,2,2,59,0,577500,
21000,1,203500,2,2,1,2,48,0,2630600,
500,2,24500,1,2,1,2,24,0,5300,
24000,1,45350,2,2,1,2,48,0,234500,
17500,1,18700,2,2,1,2,46,0,604500,
12500,3,19000,2,2,2,1,24,0,-3200,
8500,2,82450,2,1,2,2,47,0,383350,
40000,1,94925,2,1,1,2,24,0,1636500,
15000,2,33575,1,2,2,2,13,0,-21750,
30000,1,134550,1,2,1,2,11,0,1502650,
3000,1,60425,2,2,2,1,47,100000,1666600,
20000,1,79925,2,2,1,2,24,0,348700,
32000,1,124575,2,2,2,1,13,240000,960750,
21000,3,75175,2,2,2,1,35,0,438225,
52500,2,80075,1,1,1,2,24,0,1057250,
7000,3,24000,2,2,2,1,48,0,2250,
4100,1,28850,2,2,2,1,10,0,97600,
8250,3,43575,1,1,1,2,24,0,27400,
100000,1,82425,2,2,2,1,48,410000,1179500,
6750,1,39000,2,2,2,1,47,190000,580100,
41000,1,51050,2,2,2,1,48,0,1418400,
2100,1,54025,2,2,1,2,59,0,4160000,
31000,3,160025,2,1,2,2,48,0,2038000,
950,1,19575,1,2,2,2,12,0,43675,
5250,1,42375,2,2,2,1,46,0,331250,
24000,3,88650,2,2,1,1,59,0,1490451,
999996,1,76450,2,1,1,2,11,0,271650,
175000,1,648775,9,9,9,9,59,0,7365000,
2200,2,20150,2,2,2,1,47,0,114050,
